Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,PlasticWasteLittered,MismanagedPlasticWaste2010,MismanagedPlasticWaste2025
Indonesia,-1,114,LMI,0,1,11,81,2,97356208,0,213210,3216856,7415202
Iran,32,54,UMI,9099695,1,12,50,2,504990,1304896,26098,247403,460067
Iraq,33,44,LMI,639228,1,13,63,2,504990,65396,1308,15563,47694
Ireland,53,-8,HIC,3749576,4,12,0,2,13423482,1604106,32082,11710,14045
Isle of Man,54,-5,HIC,81222,2,12,0,2,170566,20383,408,149,210
Israel,31,35,HIC,6677810,2,14,1,2,14156957,1974896,39498,19007,28211
Italy,42,13,HIC,0,2,6,0,2,75424246,4487743,89755,32761,45058
Jamaica,18,-77,UMI,2820558,0,19,27,2,507700,96209,1924,10019,59575
Japan,36,138,HIC,0,2,10,0,2,197041404,0,392112,143121,177241
Jersey,49,-2,HIC,90076,2,12,0,2,189160,22605,452,165,233
Jordan8,31,36,UMI,55392,1,12,58,2,66470,7943,159,1737,2975
Kenya,0,38,LI,2729945,0,9,83,2,818984,73299,1466,22658,87109
Kiribati,-3,-169,LMI,94487,1,13,84,2,74645,9666,193,3045,6977
Kuwait,29,47,HIC,2293604,6,12,0,2,13119415,1567770,31355,11489,13479
Latvia,57,25,UMI,1432078,1,12,14,2,1475040,176267,3525,10284,16654
Lebanon,34,36,UMI,3890871,1,8,34,2,4591228,365003,7300,47815,101852
Liberia,6,-9,LI,2148271,1,14,84,2,1288963,179810,3596,56728,142787
Libya,26,17,UMI,4050128,1,12,23,2,4860154,580788,11616,52779,102577
Lithuania,47,10,UMI,443894,1,12,14,2,488283,58350,1167,3479,5478
Macao,22,114,HIC,257911,1,25,0,2,379129,94593,1892,698,1146
Madagascar,-19,47,LI,7062413,1,2,84,2,5649930,110174,2203,34522,177625
Malaysia,4,102,UMI,0,2,13,55,2,34793183,4505717,90114,936818,1765977
Maldives,3,73,LMI,392567,2,13,66,2,973566,126077,2522,31469,40143
Malta,18,-4,HIC,404707,2,12,6,2,720378,86085,1722,2620,3757
Marshall Islands,7,171,UMI,58086,1,16,77,2,69703,11118,222,3187,5717
Martinique,15,-61,HIC,402257,2,12,0,2,844740,100946,2019,749,955
Mauritania,21,-11,LI,1005481,1,9,82,2,502741,44995,900,13854,39754
Mauritius,-20,58,UMI,1255952,2,10,51,2,2888690,287425,5748,56051,73172
Mexico,24,-103,UMI,0,1,7,12,2,28083236,1951785,39036,101343,233393
Micronesia,7,151,LMI,154895,1,13,81,2,122367,15847,317,4794,10699
Monaco,44,7,HIC,34050,2,12,0,2,71505,8545,171,62,88
Montenegro,43,19,UMI,260336,1,12,30,2,312403,37332,747,4416,7244
Montserrat,17,-62,UMI,5173,1,12,12,2,6208,742,15,38,71
Morocco,32,-7,LMI,0,1,5,66,2,25263009,1250519,25010,310126,706583
Mozambique,-19,36,LI,9566559,0,11,84,2,1339318,146655,2933,45995,287067
Namibia,-23,18,UMI,155084,1,12,66,2,186101,22239,445,5480,11340
Nauru,-1,167,UMI,15289,1,12,67,2,18347,2192,44,554,1043
Netherlands,52,5,HIC,8971770,2,20,0,2,19020152,3794520,75890,27700,32387
Netherlands Antilles,12,-69,HIC,227165,2,12,0,2,477047,57007,1140,416,368
New Caledonia,-21,166,HIC,257904,2,12,0,2,541598,64721,1294,472,702
New Zealand,-41,175,HIC,3862054,4,9,0,2,14212359,1272006,25440,9286,11517
Nicaragua,13,-85,LMI,3482653,1,13,45,2,3830918,496104,9922,84415,169439
Nigeria,9,9,LMI,0,1,13,81,2,21706918,2811046,56221,851493,2481008
Niue,-19,-170,HIC,1799,2,12,0,2,3778,451,9,4,5
Norfolk Island,-29,168,LMI,2156,1,13,82,2,1703,221,4,68,156
Northern Mariana Islands,17,145,HIC,106256,2,12,0,2,223138,26665,533,219,309
Norway,60,8,HIC,4131679,3,10,0,2,11568701,1151086,23022,8403,9798
Oman,22,56,HIC,2597556,1,12,4,2,1818289,217286,4346,4658,11774
Pakistan,30,69,LMI,0,1,13,86,2,11519742,1491807,29836,480493,1221460
Palau,8,135,UMI,23446,1,12,56,2,28135,3362,67,716,1350
Palestine (Gaza Strip is only part on the coast),32,35,LMI,3045258,1,8,6,2,2405754,191257,3825,5599,18676
