Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,InadequatelyManagedPlasticWaste,PlasticWasteLittered,MismanagedPlasticWaste,"MismanagedPlasticWaste2010
  [tonnes]7","MismanagedPlasticWaste2025
  [tonnes]7"
Ukraine,48.38,31.17,LMI,6812799,0.79,13,49,2,5382111,696983,338841,13940,0.05,128765,233388
United Arab Emirates,23.42,53.85,HIC,2018302,1.66,12,0,2,3350381,400371,256,8007,0,3016,5910
United Kingdom,55.38,-3.44,HIC,0,1.79,12,0,2,0,9253293,0,185066,0,67549,94165
United States,37.09,-95.71,HIC,0,2.58,13,0,2,0,0,0,754588,0.01,275424,336819
Uruguay,-32.52,-55.77,HIC,2433597,2.10,12,8,2,5110554,610711,46861,12214,0.02,21562,8037
Vanuatu,-15.38,166.96,LMI,251851,3.28,9,81,2,826071,73933,60104,1479,0.25,22478,38006
Venezuela,6.42,-66.59,HIC,0,2.10,12,5,2,0,4039014,199585,80780,0.02,102333,154243
Vietnam,14.06,108.28,LMI,0,0.79,13,86,2,0,5714578,4909870,114292,0.09,1833819,4172828
Yemen,15.55,48.52,LMI,6048920,0.79,13,73,2,4778647,618835,451134,12377,0.08,169181,513907
,,,,,,,,,,,,,Total,0,0
